Parameters read
34	16	100	1	20
Simulation started
Initialise 34 🐿️
Timer on 1 READY, simulation length: 20
CTRL on 18 READY

		    Timer report: month  1    
Land on rank  9, month  8 	influx: 549	infected: 119
Land on rank 10, month  8 	influx: 535	infected: 148
Land on rank  5, month  8 	influx: 500	infected: 127
Land on rank 14, month  8 	influx: 571	infected: 143
Land on rank 13, month  8 	influx: 460	infected: 131
Land on rank 11, month  8 	influx: 543	infected: 168
Land on rank  6, month  8 	influx: 533	infected: 146

		    Timer report: month  9    
Land on rank  3, month  9 	influx: 435	infected: 198
Land on rank  4, month  9 	influx: 391	infected: 178
Land on rank  7, month  9 	influx: 434	infected: 186
Land on rank 12, month  9 	influx: 418	infected: 189
Land on rank 13, month  9 	influx: 386	infected: 176
Land on rank  6, month  9 	influx: 395	infected: 188
Land on rank  5, month  9 	influx: 429	infected: 195
Land on rank 14, month  9 	influx: 464	infected: 205
Land on rank 10, month  9 	influx: 447	infected: 187
Land on rank  2, month  9 	influx: 411	infected: 186
Land on rank 16, month  9 	influx: 435	infected: 199
Land on rank  8, month  9 	influx: 406	infected: 177
Land on rank 11, month  9 	influx: 436	infected: 225
Land on rank 15, month  9 	influx: 413	infected: 180
Land on rank 17, month  9 	influx: 397	infected: 177
Land on rank  9, month  9 	influx: 406	infected: 173

		    Timer report: month 10    
Land on rank  2, month 10 	influx: 277	infected: 162
Land on rank  5, month 10 	influx: 282	infected: 179
Land on rank  8, month 10 	influx: 252	infected: 149
Land on rank  9, month 10 	influx: 253	infected: 156
Land on rank 11, month 10 	influx: 271	infected: 175
Land on rank 12, month 10 	influx: 252	infected: 156
Land on rank 14, month 10 	influx: 302	infected: 187
Land on rank 15, month 10 	influx: 256	infected: 151
Land on rank 16, month 10 	influx: 279	infected: 170
Land on rank 13, month 10 	influx: 228	infected: 145
Land on rank  3, month 10 	influx: 284	infected: 182
Land on rank 17, month 10 	influx: 256	infected: 160
Land on rank  6, month 10 	influx: 244	infected: 154
Land on rank  7, month 10 	influx: 275	infected: 157
Land on rank 10, month 10 	influx: 277	infected: 156
Land on rank  4, month 10 	influx: 237	infected: 147

		    Timer report: month 11    
Land on rank  8, month 11 	influx: 95	infected: 73
Land on rank 10, month 11 	influx: 119	infected: 88
Land on rank 11, month 11 	influx: 117	infected: 97
Land on rank 13, month 11 	influx: 106	infected: 83
Land on rank 16, month 11 	influx: 138	infected: 112
Land on rank  3, month 11 	influx: 132	infected: 105
Land on rank 12, month 11 	influx: 108	infected: 92
Land on rank  9, month 11 	influx: 121	infected: 103
Land on rank  5, month 11 	influx: 126	infected: 112
Land on rank 15, month 11 	influx: 120	infected: 97
Land on rank  7, month 11 	influx: 126	infected: 102
Land on rank  2, month 11 	influx: 109	infected: 92
Land on rank  4, month 11 	influx: 95	infected: 83
Land on rank  6, month 11 	influx: 109	infected: 91
Land on rank 17, month 11 	influx: 105	infected: 82
Land on rank 14, month 11 	influx: 139	infected: 118

		    Timer report: month 12    
Land on rank  5, month 12 	influx: 30	infected: 28
Land on rank  3, month 12 	influx: 36	infected: 31
Land on rank  6, month 12 	influx: 30	infected: 26
Land on rank 16, month 12 	influx: 38	infected: 36
Land on rank  2, month 12 	influx: 28	infected: 25
Land on rank  7, month 12 	influx: 28	infected: 23
Land on rank  9, month 12 	influx: 29	infected: 26
Land on rank 14, month 12 	influx: 41	infected: 39
Land on rank 11, month 12 	influx: 31	infected: 25
Land on rank 13, month 12 	influx: 24	infected: 17
Land on rank 15, month 12 	influx: 36	infected: 33
Land on rank  8, month 12 	influx: 22	infected: 20
Land on rank 10, month 12 	influx: 31	infected: 26
Land on rank 12, month 12 	influx: 26	infected: 24
Land on rank 17, month 12 	influx: 30	infected: 26
Land on rank  4, month 12 	influx: 28	infected: 26

		    Timer report: month 13    
Land on rank  5, month 13 	influx:  6	infected:  4
Land on rank  9, month 13 	influx:  6	infected:  5
Land on rank 10, month 13 	influx:  8	infected:  7
Land on rank 13, month 13 	influx:  8	infected:  4
Land on rank  3, month 13 	influx: 13	infected: 10
Land on rank  6, month 13 	influx: 12	infected: 10
Land on rank 12, month 13 	influx:  9	infected:  8
Land on rank 14, month 13 	influx: 10	infected: 10
Land on rank 11, month 13 	influx: 14	infected:  9
Land on rank 15, month 13 	influx: 11	infected: 10
Land on rank  4, month 13 	influx:  5	infected:  5
Land on rank  2, month 13 	influx:  5	infected:  5
Land on rank  7, month 13 	influx:  7	infected:  5
Land on rank  8, month 13 	influx:  2	infected:  2
Land on rank 17, month 13 	influx: 10	infected:  7
Land on rank 16, month 13 	influx: 11	infected: 10

		    Timer report: month 14    
Land on rank  2, month 14 	influx:  0	infected:  0
Land on rank  5, month 14 	influx:  1	infected:  1
Land on rank  6, month 14 	influx:  0	infected:  0
Land on rank  8, month 14 	influx:  1	infected:  1
Land on rank 10, month 14 	influx:  4	infected:  4
Land on rank 11, month 14 	influx:  1	infected:  1
Land on rank 14, month 14 	influx:  2	infected:  2
Land on rank 12, month 14 	influx:  3	infected:  3
Land on rank  4, month 14 	influx:  0	infected:  0
Land on rank  7, month 14 	influx:  0	infected:  0
Land on rank  3, month 14 	influx:  2	infected:  2
Land on rank 15, month 14 	influx:  0	infected:  0
Land on rank 17, month 14 	influx:  2	infected:  2
Land on rank  9, month 14 	influx:  0	infected:  0
Land on rank 16, month 14 	influx:  4	infected:  4
Land on rank 13, month 14 	influx:  0	infected:  0

		    Timer report: month 15    
Land on rank  2, month 15 	influx:  0	infected:  0
Land on rank  3, month 15 	influx:  0	infected:  0
Land on rank  9, month 15 	influx:  0	infected:  0
Land on rank 11, month 15 	influx:  0	infected:  0
Land on rank 13, month 15 	influx:  0	infected:  0
Land on rank  5, month 15 	influx:  0	infected:  0
Land on rank  8, month 15 	influx:  0	infected:  0
Land on rank  6, month 15 	influx:  0	infected:  0
Land on rank  7, month 15 	influx:  0	infected:  0
Land on rank 14, month 15 	influx:  0	infected:  0
Land on rank 16, month 15 	influx:  0	infected:  0
Land on rank 12, month 15 	influx:  0	infected:  0
Land on rank  4, month 15 	influx:  0	infected:  0
Land on rank 15, month 15 	influx:  0	infected:  0
Land on rank 17, month 15 	influx:  0	infected:  0
Land on rank 10, month 15 	influx:  0	infected:  0

		    Timer report: month 16    
Land on rank  4, month 16 	influx:  0	infected:  0
Land on rank  5, month 16 	influx:  0	infected:  0
Land on rank  7, month 16 	influx:  0	infected:  0
Land on rank  8, month 16 	influx:  0	infected:  0
Land on rank 10, month 16 	influx:  0	infected:  0
Land on rank 15, month 16 	influx:  0	infected:  0
Land on rank  9, month 16 	influx:  0	infected:  0
Land on rank 13, month 16 	influx:  0	infected:  0
Land on rank  2, month 16 	influx:  0	infected:  0
Land on rank 12, month 16 	influx:  0	infected:  0
Land on rank 16, month 16 	influx:  0	infected:  0
Land on rank 14, month 16 	influx:  0	infected:  0
Land on rank  6, month 16 	influx:  0	infected:  0
Land on rank 11, month 16 	influx:  0	infected:  0
Land on rank 17, month 16 	influx:  0	infected:  0
Land on rank  3, month 16 	influx:  0	infected:  0

		    Timer report: month 17    
Land on rank  5, month 17 	influx:  0	infected:  0
Land on rank  8, month 17 	influx:  0	infected:  0
Land on rank  9, month 17 	influx:  0	infected:  0
Land on rank 13, month 17 	influx:  0	infected:  0
Land on rank 17, month 17 	influx:  0	infected:  0
Land on rank 16, month 17 	influx:  0	infected:  0
Land on rank 11, month 17 	influx:  0	infected:  0
Land on rank  4, month 17 	influx:  0	infected:  0
Land on rank  6, month 17 	influx:  0	infected:  0
Land on rank  2, month 17 	influx:  0	infected:  0
Land on rank  3, month 17 	influx:  0	infected:  0
Land on rank 10, month 17 	influx:  0	infected:  0
Land on rank 12, month 17 	influx:  0	infected:  0
Land on rank  7, month 17 	influx:  0	infected:  0
Land on rank 15, month 17 	influx:  0	infected:  0
Land on rank 14, month 17 	influx:  0	infected:  0

		    Timer report: month 18    
Land on rank  3, month 18 	influx:  0	infected:  0
Land on rank  5, month 18 	influx:  0	infected:  0
Land on rank  9, month 18 	influx:  0	infected:  0
Land on rank 10, month 18 	influx:  0	infected:  0
Land on rank 17, month 18 	influx:  0	infected:  0
Land on rank  4, month 18 	influx:  0	infected:  0
Land on rank 12, month 18 	influx:  0	infected:  0
Land on rank  2, month 18 	influx:  0	infected:  0
Land on rank  7, month 18 	influx:  0	infected:  0
Land on rank 15, month 18 	influx:  0	infected:  0
Land on rank 16, month 18 	influx:  0	infected:  0
Land on rank  6, month 18 	influx:  0	infected:  0
Land on rank 11, month 18 	influx:  0	infected:  0
Land on rank 14, month 18 	influx:  0	infected:  0
Land on rank  8, month 18 	influx:  0	infected:  0
Land on rank 13, month 18 	influx:  0	infected:  0

		    Timer report: month 19    
Land on rank  2, month 19 	influx:  0	infected:  0
Land on rank  3, month 19 	influx:  0	infected:  0
Land on rank  5, month 19 	influx:  0	infected:  0
Land on rank  7, month 19 	influx:  0	infected:  0
Land on rank  9, month 19 	influx:  0	infected:  0
Land on rank 12, month 19 	influx:  0	infected:  0
Land on rank 13, month 19 	influx:  0	infected:  0
Land on rank 15, month 19 	influx:  0	infected:  0
Land on rank  4, month 19 	influx:  0	infected:  0
Land on rank 11, month 19 	influx:  0	infected:  0
Land on rank  8, month 19 	influx:  0	infected:  0
Land on rank 16, month 19 	influx:  0	infected:  0
Land on rank  6, month 19 	influx:  0	infected:  0
Land on rank 14, month 19 	influx:  0	infected:  0
Land on rank 17, month 19 	influx:  0	infected:  0
Land on rank 10, month 19 	influx:  0	infected:  0

		    Timer report: month 20    
Land on rank  9, month 20 	influx:  0	infected:  0
Land on rank 14, month 20 	influx:  0	infected:  0
Land on rank 15, month 20 	influx:  0	infected:  0
Land on rank 16, month 20 	influx:  0	infected:  0
Land on rank  4, month 20 	influx:  0	infected:  0
Land on rank  8, month 20 	influx:  0	infected:  0
Land on rank  3, month 20 	influx:  0	infected:  0
Land on rank  5, month 20 	influx:  0	infected:  0
Land on rank 10, month 20 	influx:  0	infected:  0
Land on rank  6, month 20 	influx:  0	infected:  0
Land on rank  2, month 20 	influx:  0	infected:  0
Land on rank  7, month 20 	influx:  0	infected:  0
Land on rank 12, month 20 	influx:  0	infected:  0
Land on rank 17, month 20 	influx:  0	infected:  0
Land on rank 11, month 20 	influx:  0	infected:  0
Land on rank 13, month 20 	influx:  0	infected:  0
	FINISHED: Simulation Stoped. Population: 0
Parameters read
34	16	100	1	20
Simulation started
Initialise 34 🐿️
Timer on 1 READY, simulation length: 20
CTRL on 18 READY

		    Timer report: month  1    
Land on rank  6, month  1 	influx: 92	infected:  0
Land on rank 10, month  1 	influx: 115	infected: 12
Land on rank  2, month  1 	influx: 109	infected:  6
Land on rank 12, month  1 	influx: 81	infected:  3
Land on rank 15, month  1 	influx: 110	infected:  3
Land on rank 17, month  1 	influx: 87	infected:  0
Land on rank  5, month  1 	influx: 105	infected:  4
Land on rank 14, month  1 	influx: 88	infected:  1
Land on rank 16, month  1 	influx: 114	infected:  2
Land on rank  3, month  1 	influx: 96	infected:  0
Land on rank  8, month  1 	influx: 116	infected:  5
Land on rank  7, month  1 	influx: 105	infected:  4
Land on rank 11, month  1 	influx: 108	infected:  2
Land on rank  9, month  1 	influx: 125	infected:  6
Land on rank 13, month  1 	influx: 105	infected:  2
Land on rank  4, month  1 	influx: 90	infected:  3

		    Timer report: month  2    
Land on rank  2, month  2 	influx: 251	infected:  6
Land on rank  6, month  2 	influx: 240	infected:  0
Land on rank  8, month  2 	influx: 246	infected:  5
Land on rank 10, month  2 	influx: 242	infected: 12
Land on rank 14, month  2 	influx: 213	infected:  1
Land on rank 15, month  2 	influx: 222	infected:  3
Land on rank 17, month  2 	influx: 207	infected:  0
Land on rank 16, month  2 	influx: 238	infected:  2
Land on rank  5, month  2 	influx: 239	infected:  4
Land on rank 11, month  2 	influx: 223	infected:  2
Land on rank 12, month  2 	influx: 219	infected:  3
Land on rank  7, month  2 	influx: 228	infected:  4
Land on rank 13, month  2 	influx: 221	infected:  2
Land on rank  9, month  2 	influx: 275	infected:  6
Land on rank  3, month  2 	influx: 209	infected:  0
Land on rank  4, month  2 	influx: 228	infected:  3

		    Timer report: month  3    
Land on rank  3, month  3 	influx: 359	infected:  3
Land on rank  6, month  3 	influx: 382	infected:  4
Land on rank  9, month  3 	influx: 395	infected:  7
Land on rank 11, month  3 	influx: 349	infected:  6
Land on rank 15, month  3 	influx: 365	infected:  4
Land on rank 16, month  3 	influx: 381	infected:  7
Land on rank 12, month  3 	influx: 350	infected:  7
Land on rank 13, month  3 	influx: 357	infected:  6
Land on rank 17, month  3 	influx: 363	infected:  7
Land on rank 10, month  3 	influx: 358	infected: 14
Land on rank  5, month  3 	influx: 382	infected:  8
Land on rank  4, month  3 	influx: 354	infected:  4
Land on rank  8, month  3 	influx: 370	infected:  9
Land on rank 14, month  3 	influx: 351	infected:  3
Land on rank  2, month  3 	influx: 392	infected:  8
Land on rank  7, month  3 	influx: 376	infected: 10

		    Timer report: month  4    
Land on rank  7, month  4 	influx: 426	infected:  8
Land on rank  2, month  4 	influx: 445	infected:  5
Land on rank  6, month  4 	influx: 433	infected: 10
Land on rank 11, month  4 	influx: 403	infected:  5
