Parameters read
34	16	100	0	20
Simulation started
Initialise 34 🐿️
Timer on 1 READY, simulation length: 20
CTRL on 18 READY

		    Timer report: month  1    
Land on rank 14, month  8 	influx: 658	infected:  0
Land on rank 16, month  8 	influx: 640	infected:  0
Land on rank 17, month  8 	influx: 641	infected:  0
Land on rank  8, month  8 	influx: 637	infected:  0
Land on rank 10, month  8 	influx: 673	infected:  0
Land on rank  3, month  8 	influx: 705	infected:  0
Land on rank 13, month  8 	influx: 597	infected:  0
Land on rank  6, month  8 	influx: 653	infected:  0
CTRL on rank 18, month  8 	population: 78
Land on rank  2, month  8 	influx: 640	infected:  0
Land on rank  4, month  8 	influx: 616	infected:  0
Land on rank  7, month  8 	influx: 679	infected:  0
Land on rank 15, month  8 	influx: 628	infected:  0
Land on rank 12, month  8 	influx: 647	infected:  0

		    Timer report: month  9    
Land on rank  4, month  9 	influx: 641	infected:  0
Land on rank  7, month  9 	influx: 669	infected:  0
Land on rank  8, month  9 	influx: 677	infected:  0
Land on rank 11, month  9 	influx: 709	infected:  0
Land on rank 12, month  9 	influx: 645	infected:  0
Land on rank 13, month  9 	influx: 648	infected:  0
Land on rank 14, month  9 	influx: 676	infected:  0
Land on rank 17, month  9 	influx: 706	infected:  0
Land on rank  5, month  9 	influx: 681	infected:  0
Land on rank 15, month  9 	influx: 621	infected:  0
CTRL on rank 18, month  9 	population: 78
Land on rank  9, month  9 	influx: 695	infected:  0
Land on rank 16, month  9 	influx: 701	infected:  0
Land on rank  3, month  9 	influx: 704	infected:  0
Land on rank 10, month  9 	influx: 737	infected:  0
Land on rank  2, month  9 	influx: 692	infected:  0
Land on rank  6, month  9 	influx: 658	infected:  0

		    Timer report: month 10    
Land on rank  7, month 10 	influx: 747	infected:  0
Land on rank  8, month 10 	influx: 754	infected:  0
Land on rank 14, month 10 	influx: 723	infected:  0
Land on rank 15, month 10 	influx: 740	infected:  0
CTRL on rank 18, month 10 	population: 81
Land on rank  4, month 10 	influx: 735	infected:  0
Land on rank 16, month 10 	influx: 804	infected:  0
Land on rank  3, month 10 	influx: 739	infected:  0
Land on rank 13, month 10 	influx: 754	infected:  0
Land on rank 12, month 10 	influx: 689	infected:  0
Land on rank 17, month 10 	influx: 788	infected:  0
Land on rank  2, month 10 	influx: 743	infected:  0
Land on rank  6, month 10 	influx: 737	infected:  0
Land on rank  9, month 10 	influx: 719	infected:  0
Land on rank 10, month 10 	influx: 762	infected:  0
Land on rank 11, month 10 	influx: 725	infected:  0
Land on rank  5, month 10 	influx: 735	infected:  0

		    Timer report: month 11    
Land on rank  2, month 11 	influx: 760	infected:  0
Land on rank  5, month 11 	influx: 769	infected:  0
Land on rank  8, month 11 	influx: 783	infected:  0
Land on rank 13, month 11 	influx: 774	infected:  0
Land on rank 16, month 11 	influx: 795	infected:  0
Land on rank 14, month 11 	influx: 732	infected:  0
Land on rank  3, month 11 	influx: 756	infected:  0
Land on rank 11, month 11 	influx: 746	infected:  0
Land on rank  7, month 11 	influx: 736	infected:  0
Land on rank  6, month 11 	influx: 767	infected:  0
Land on rank 12, month 11 	influx: 677	infected:  0
CTRL on rank 18, month 11 	population: 83
Land on rank  4, month 11 	influx: 775	infected:  0
Land on rank 17, month 11 	influx: 790	infected:  0
Land on rank 15, month 11 	influx: 793	infected:  0
Land on rank  9, month 11 	influx: 763	infected:  0
Land on rank 10, month 11 	influx: 796	infected:  0

		    Timer report: month 12    
Land on rank  9, month 12 	influx: 770	infected:  0
Land on rank 10, month 12 	influx: 770	infected:  0
Land on rank 14, month 12 	influx: 760	infected:  0
Land on rank 15, month 12 	influx: 797	infected:  0
CTRL on rank 18, month 12 	population: 87
Land on rank  5, month 12 	influx: 758	infected:  0
Land on rank 16, month 12 	influx: 785	infected:  0
Land on rank 11, month 12 	influx: 761	infected:  0
Land on rank  8, month 12 	influx: 783	infected:  0
Land on rank 13, month 12 	influx: 791	infected:  0
Land on rank  4, month 12 	influx: 784	infected:  0
Land on rank 12, month 12 	influx: 750	infected:  0
Land on rank 17, month 12 	influx: 788	infected:  0
Land on rank  7, month 12 	influx: 807	infected:  0
Land on rank  2, month 12 	influx: 777	infected:  0
Land on rank  6, month 12 	influx: 785	infected:  0
Land on rank  3, month 12 	influx: 790	infected:  0

		    Timer report: month 13    
Land on rank  7, month 13 	influx: 846	infected:  0
Land on rank 10, month 13 	influx: 798	infected:  0
Land on rank 13, month 13 	influx: 826	infected:  0
Land on rank 15, month 13 	influx: 807	infected:  0
Land on rank  5, month 13 	influx: 788	infected:  0
CTRL on rank 18, month 13 	population: 94
Land on rank 12, month 13 	influx: 801	infected:  0
Land on rank  3, month 13 	influx: 817	infected:  0
Land on rank  4, month 13 	influx: 807	infected:  0
Land on rank 16, month 13 	influx: 785	infected:  0
Land on rank  2, month 13 	influx: 775	infected:  0
Land on rank  6, month 13 	influx: 830	infected:  0
Land on rank  8, month 13 	influx: 820	infected:  0
Land on rank 14, month 13 	influx: 833	infected:  0
Land on rank 17, month 13 	influx: 787	infected:  0
Land on rank  9, month 13 	influx: 813	infected:  0
Land on rank 11, month 13 	influx: 788	infected:  0

ERROR: Simulation Stoped
Maximal allowed population reached: 100

		    Timer report: month 14    
Land on rank 15, month 14 	influx: 864	infected:  0
Land on rank 16, month 14 	influx: 829	infected:  0
Land on rank  6, month 14 	influx: 873	infected:  0
Land on rank  9, month 14 	influx: 830	infected:  0
Land on rank 14, month 14 	influx: 881	infected:  0
Land on rank  4, month 14 	influx: 827	infected:  0
Land on rank 13, month 14 	influx: 857	infected:  0
Land on rank  5, month 14 	influx: 842	infected:  0
Land on rank  2, month 14 	influx: 815	infected:  0
Land on rank 11, month 14 	influx: 827	infected:  0
Land on rank 12, month 14 	influx: 890	infected:  0
Land on rank 17, month 14 	influx: 806	infected:  0
Land on rank 10, month 14 	influx: 844	infected:  0
Land on rank  3, month 14 	influx: 867	infected:  0
Land on rank  7, month 14 	influx: 877	infected:  0
Land on rank  8, month 14 	influx: 856	infected:  0

		    Timer report: month 15    
Land on rank  2, month 15 	influx: 923	infected:  0
Land on rank  3, month 15 	influx: 963	infected:  0
Land on rank  4, month 15 	influx: 922	infected:  0
Land on rank 12, month 15 	influx: 981	infected:  0
Land on rank 13, month 15 	influx: 920	infected:  0
Land on rank 14, month 15 	influx: 961	infected:  0
Land on rank  5, month 15 	influx: 935	infected:  0
Land on rank  6, month 15 	influx: 929	infected:  0
Land on rank  7, month 15 	influx: 936	infected:  0
Land on rank  9, month 15 	influx: 883	infected:  0
Land on rank 17, month 15 	influx: 891	infected:  0
Land on rank 16, month 15 	influx: 880	infected:  0
Land on rank 10, month 15 	influx: 950	infected:  0
Land on rank 15, month 15 	influx: 957	infected:  0
Land on rank  8, month 15 	influx: 926	infected:  0
Land on rank 11, month 15 	influx: 897	infected:  0

ERROR: Simulation Stopped
If the simulation does not exit properly, use CTRL + C to terminate it.
