Parameters read
34	16	100	0	20
Simulation started
Initialise 34 🐿️
Timer on 1 READY, simulation length: 20
CTRL on 18 READY

		    Timer report: month  1    
Land on rank  2, month  1 	influx: 113	infected:  0
Land on rank  7, month  1 	influx: 108	infected:  0
Land on rank  9, month  1 	influx: 123	infected:  0
Land on rank 11, month  1 	influx: 116	infected:  0
Land on rank 12, month  1 	influx: 94	infected:  0
Land on rank 15, month  1 	influx: 109	infected:  0
Land on rank 17, month  1 	influx: 95	infected:  0
Land on rank  8, month  1 	influx: 114	infected:  0
Land on rank 16, month  1 	influx: 111	infected:  0
Land on rank  3, month  1 	influx: 106	infected:  0
Land on rank 10, month  1 	influx: 111	infected:  0
Land on rank  6, month  1 	influx: 99	infected:  0
Land on rank  4, month  1 	influx: 91	infected:  0
Land on rank  5, month  1 	influx: 112	infected:  0
Land on rank 13, month  1 	influx: 107	infected:  0
Land on rank 14, month  1 	influx: 92	infected:  0

		    Timer report: month  2    
Land on rank  4, month  2 	influx: 195	infected:  0
Land on rank  5, month  2 	influx: 204	infected:  0
Land on rank  9, month  2 	influx: 247	infected:  0
Land on rank 10, month  2 	influx: 212	infected:  0
Land on rank 11, month  2 	influx: 197	infected:  0
Land on rank 12, month  2 	influx: 188	infected:  0
Land on rank 14, month  2 	influx: 185	infected:  0
Land on rank 17, month  2 	influx: 182	infected:  0
Land on rank 15, month  2 	influx: 188	infected:  0
Land on rank  3, month  2 	influx: 182	infected:  0
Land on rank  2, month  2 	influx: 226	infected:  0
Land on rank 16, month  2 	influx: 223	infected:  0
Land on rank  6, month  2 	influx: 206	infected:  0
Land on rank  7, month  2 	influx: 203	infected:  0
Land on rank 13, month  2 	influx: 200	infected:  0
Land on rank  8, month  2 	influx: 198	infected:  0

		    Timer report: month  3    
Land on rank  8, month  3 	influx: 302	infected:  0
Land on rank 15, month  3 	influx: 287	infected:  0
Land on rank 16, month  3 	influx: 303	infected:  0
Land on rank  3, month  3 	influx: 275	infected:  0
Land on rank 11, month  3 	influx: 266	infected:  0
Land on rank  4, month  3 	influx: 283	infected:  0
Land on rank  2, month  3 	influx: 313	infected:  0
Land on rank  6, month  3 	influx: 300	infected:  0
Land on rank 13, month  3 	influx: 277	infected:  0
Land on rank  5, month  3 	influx: 291	infected:  0
Land on rank 12, month  3 	influx: 274	infected:  0
Land on rank  9, month  3 	influx: 316	infected:  0
Land on rank 10, month  3 	influx: 292	infected:  0
Land on rank 14, month  3 	influx: 264	infected:  0
Land on rank 17, month  3 	influx: 270	infected:  0
Land on rank  7, month  3 	influx: 281	infected:  0

		    Timer report: month  4    
Land on rank  3, month  4 	influx: 337	infected:  0
Land on rank  5, month  4 	influx: 327	infected:  0
Land on rank  6, month  4 	influx: 348	infected:  0
Land on rank  7, month  4 	influx: 312	infected:  0
Land on rank  9, month  4 	influx: 324	infected:  0
Land on rank 14, month  4 	influx: 310	infected:  0
Land on rank 10, month  4 	influx: 308	infected:  0
Land on rank  4, month  4 	influx: 342	infected:  0
Land on rank 17, month  4 	influx: 318	infected:  0
Land on rank  2, month  4 	influx: 327	infected:  0
Land on rank  8, month  4 	influx: 316	infected:  0
Land on rank 16, month  4 	influx: 350	infected:  0
Land on rank 13, month  4 	influx: 321	infected:  0
Land on rank 15, month  4 	influx: 332	infected:  0
Land on rank 12, month  4 	influx: 327	infected:  0
Land on rank 11, month  4 	influx: 304	infected:  0

		    Timer report: month  5    
Land on rank  4, month  5 	influx: 397	infected:  0
Land on rank  6, month  5 	influx: 392	infected:  0
Land on rank  7, month  5 	influx: 372	infected:  0
Land on rank 10, month  5 	influx: 362	infected:  0
Land on rank 12, month  5 	influx: 395	infected:  0
Land on rank 16, month  5 	influx: 390	infected:  0
Land on rank 13, month  5 	influx: 343	infected:  0
Land on rank  8, month  5 	influx: 387	infected:  0
Land on rank 11, month  5 	influx: 364	infected:  0
Land on rank 15, month  5 	influx: 399	infected:  0
Land on rank 14, month  5 	influx: 372	infected:  0
Land on rank  5, month  5 	influx: 407	infected:  0
Land on rank 17, month  5 	influx: 375	infected:  0
Land on rank  3, month  5 	influx: 435	infected:  0
Land on rank  2, month  5 	influx: 378	infected:  0
Land on rank  9, month  5 	influx: 352	infected:  0

		    Timer report: month  6    
Land on rank  3, month  6 	influx: 498	infected:  0
Land on rank  4, month  6 	influx: 459	infected:  0
Land on rank  8, month  6 	influx: 460	infected:  0
Land on rank  9, month  6 	influx: 467	infected:  0
Land on rank 13, month  6 	influx: 436	infected:  0
Land on rank 14, month  6 	influx: 496	infected:  0
Land on rank  2, month  6 	influx: 485	infected:  0
Land on rank  7, month  6 	influx: 523	infected:  0
Land on rank  6, month  6 	influx: 499	infected:  0
Land on rank 15, month  6 	influx: 485	infected:  0
Land on rank  5, month  6 	influx: 499	infected:  0
Land on rank 17, month  6 	influx: 487	infected:  0
Land on rank 11, month  6 	influx: 497	infected:  0
Land on rank 16, month  6 	influx: 511	infected:  0
Land on rank 10, month  6 	influx: 439	infected:  0
Land on rank 12, month  6 	influx: 491	infected:  0

		    Timer report: month  7    
Land on rank  5, month  7 	influx: 577	infected:  0
Land on rank  7, month  7 	influx: 572	infected:  0
Land on rank 12, month  7 	influx: 558	infected:  0
Land on rank 13, month  7 	influx: 479	infected:  0
Land on rank 14, month  7 	influx: 579	infected:  0
Land on rank 16, month  7 	influx: 561	infected:  0
Land on rank  2, month  7 	influx: 591	infected:  0
Land on rank  8, month  7 	influx: 533	infected:  0
Land on rank  4, month  7 	influx: 540	infected:  0
Land on rank 15, month  7 	influx: 561	infected:  0
Land on rank 10, month  7 	influx: 511	infected:  0
Land on rank  3, month  7 	influx: 555	infected:  0
Land on rank  9, month  7 	influx: 563	infected:  0
Land on rank 11, month  7 	influx: 576	infected:  0
Land on rank  6, month  7 	influx: 566	infected:  0
Land on rank 17, month  7 	influx: 534	infected:  0

		    Timer report: month  8    
Land on rank  2, month  8 	influx: 650	infected:  0
Land on rank 12, month  8 	influx: 622	infected:  0
Land on rank 13, month  8 	influx: 576	infected:  0
Land on rank 15, month  8 	influx: 669	infected:  0
Land on rank 17, month  8 	influx: 626	infected:  0
Land on rank 11, month  8 	influx: 701	infected:  0
Land on rank  7, month  8 	influx: 657	infected:  0
Land on rank  9, month  8 	influx: 663	infected:  0
Land on rank  8, month  8 	influx: 625	infected:  0
Land on rank 14, month  8 	influx: 654	infected:  0
Land on rank  4, month  8 	influx: 609	infected:  0
Land on rank  5, month  8 	influx: 645	infected:  0
Land on rank 10, month  8 	influx: 604	infected:  0
Land on rank  3, month  8 	influx: 661	infected:  0
Land on rank 16, month  8 	influx: 661	infected:  0
Land on rank  6, month  8 	influx: 630	infected:  0

		    Timer report: month  9    
Land on rank  2, month  9 	influx: 712	infected:  0
Land on rank  4, month  9 	influx: 689	infected:  0
Land on rank  5, month  9 	influx: 728	infected:  0
Land on rank  6, month  9 	influx: 682	infected:  0
Land on rank  7, month  9 	influx: 678	infected:  0
Land on rank 10, month  9 	influx: 712	infected:  0
Land on rank 12, month  9 	influx: 699	infected:  0
Land on rank 14, month  9 	influx: 686	infected:  0
Land on rank  3, month  9 	influx: 751	infected:  0
Land on rank 17, month  9 	influx: 669	infected:  0
Land on rank 15, month  9 	influx: 696	infected:  0
Land on rank  9, month  9 	influx: 730	infected:  0
Land on rank 11, month  9 	influx: 742	infected:  0
Land on rank  8, month  9 	influx: 698	infected:  0
Land on rank 13, month  9 	influx: 643	infected:  0
Land on rank 16, month  9 	influx: 696	infected:  0

		    Timer report: month 10    
Land on rank 13, month 10 	influx: 658	infected:  0
Land on rank 14, month 10 	influx: 706	infected:  0
Land on rank 15, month 10 	influx: 689	infected:  0
Land on rank 17, month 10 	influx: 689	infected:  0
Land on rank  2, month 10 	influx: 683	infected:  0
Land on rank 12, month 10 	influx: 679	infected:  0
Land on rank  4, month 10 	influx: 635	infected:  0
Land on rank 11, month 10 	influx: 709	infected:  0
Land on rank 10, month 10 	influx: 710	infected:  0
Land on rank  5, month 10 	influx: 697	infected:  0
Land on rank  3, month 10 	influx: 738	infected:  0
Land on rank  7, month 10 	influx: 712	infected:  0
Land on rank  8, month 10 	influx: 661	infected:  0
Land on rank 16, month 10 	influx: 688	infected:  0
Land on rank  9, month 10 	influx: 689	infected:  0
Land on rank  6, month 10 	influx: 659	infected:  0

		    Timer report: month 11    
Land on rank  2, month 11 	influx: 690	infected:  0
Land on rank  3, month 11 	influx: 644	infected:  0
Land on rank  5, month 11 	influx: 664	infected:  0
Land on rank  7, month 11 	influx: 669	infected:  0
Land on rank 12, month 11 	influx: 670	infected:  0
Land on rank 10, month 11 	influx: 663	infected:  0
Land on rank 13, month 11 	influx: 637	infected:  0
Land on rank  4, month 11 	influx: 639	infected:  0
Land on rank 11, month 11 	influx: 676	infected:  0
